我们避而不谈的东西都像极了我们自己 | 利器x城堡,https://liqi.io/chengbao45/
利器访谈：钢炮爹九万，亲子、旅行、美食 vlogger,https://liqi.io/gangpaodie9w/
利器访谈：Yixiao，生物科技领域创业者,https://liqi.io/yixiao/
利器访谈：Issei，学生及设计师，「觉论」作者,https://liqi.io/issei/
利器访谈：哈比，博客主，创业者，笔记侠达人，印象大使,https://liqi.io/liaoyuqin/
利器访谈：吴添羽，Spotify 产品设计师,https://liqi.io/tianyu/
利器访谈：ADoyle，全栈工程师,https://liqi.io/adoyle/
表达不光只是口头的叙述，它其实更多的是自我的探索 | 利器x播客访谈 《不丧》,https://liqi.io/busang/
利器访谈：李老汉，vlogger，培训师,https://liqi.io/lilaohan/
利器访谈：影迷劳拉，电影博主，vlogger,https://liqi.io/yingmilaola/
Podcasting 是一柄锤子，握着它也许能让你看到更多钉子 | 利器x播客访谈,https://liqi.io/weareones/
收集-分析-输出行动，用工作流思维去创造 | 利器访谈：海程，战略分析师，创业者，无线游戏探索者,https://liqi.io/haicheng/
别纠结器材，花多点时间在内容上 | 利器xVLOG：孙东山，导演，vlogger,https://liqi.io/sundongshan/
利器x通信者访谈：王小麦，产品经理，某运营商研发中心,https://liqi.io/xiaomai/
利器访谈：黄璟璐，建筑师，「所建所闻」主理人,https://liqi.io/jinglu/
一直以来，做一个谈话节目主持人就是我的梦想之一 |「利器x播客」访谈,https://liqi.io/bitvoicefm/
首要任务是在一个视频里讲清楚一件事 | 利器xVLOG：welber，数码科技 vlogger,https://liqi.io/welber/
利器访谈：JOJO，「出笼」项目主理人,https://liqi.io/jojo/
我做了一档广泛地关于博物馆的（陪伴型）播客 | 「利器x播客」访谈,https://liqi.io/bowuzhi/
当硬件和软件都掌握在个人手里，拍东西就像写日记一样容易 | 利器xVLOG：Tonelf，纪录片导演，剪辑师,https://liqi.io/tonelf/
从每一件发生在身边的事中总结出经历，这是一种能力 | 利器x城堡阅读周刊,https://liqi.io/chengbao34/
用 Engineer 的视角窥探世界，Byte.Coffee 诞生了 | 「利器x播客」访谈,https://liqi.io/bytecoffee/
有趣的VLOG是一座能不断让人挖掘的宝藏 | 利器xVLOG：吕博文，商业摄影师，视频博主,https://liqi.io/lvbowen/
利器访谈：闫璐，摄影师，写作者，旅行者,https://liqi.io/yanlu/
利器访谈：MARC，学生，准 Google 软件工程师,https://liqi.io/marc/
利器访谈：MilkShake 羊，高校教师，「Byte.Coffee」主播,https://liqi.io/milkshake/
利器访谈：Linghao，Google 软件工程师,https://liqi.io/linghao/
利器访谈：ZachSaw，连续创业者，创意孵化平台 VP,https://liqi.io/zachsaw/
利器访谈：Sofish，工程师，石墨文档上海负责人,https://liqi.io/sofish/
利器访谈：hb，天体物理研究，「人间指南」主理人,https://liqi.io/hb/
利器访谈：飞羽醉月，Amazon 工程师，译者,https://liqi.io/feiyuzuiyue/
利器访谈：Kenshin，开发者，远程工作者,https://liqi.io/kenshin/
利器访谈：btr，作家，译者，文化评论人,https://liqi.io/btr/
利器访谈：小河，教师，「公民科学社群」组织者,https://liqi.io/xiaohe/
利器访谈：Hoka，Google 用户体验设计师，「UX Coffee 设计咖」主播,https://liqi.io/hoka/
利器访谈：聪聪，印象笔记资深印象大使，坚果云效率大使，幕布布道师,https://liqi.io/congcong/
利器访谈：吴鲁加，创业者，「知识星球」创始人,https://liqi.io/wulujia/
利器访谈：于婉莹，「博物志」&「不会聊」制作人，家庭主妇，兼职翻译,https://liqi.io/wanying/
利器访谈：Marcus，Forest 联合创始人,https://liqi.io/marcus/
利器访谈：Augus，独立开发者，Eagle 作者,https://liqi.io/augus/
利器访谈：叶少康，商业策划顾问，奥运会火炬手,https://liqi.io/nelson/
利器访谈：王凯，日事清运营合伙人,https://liqi.io/henu/
利器访谈：王鸿智，中英文科技记者,https://liqi.io/hongzhi/
